time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451050000	11.0161	20.9837	4.80927	-3.04699	0.622399	radar	4.15328	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8185	20.9412	4.70545	-3.00706	0.634711	lidar	0.379868	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.58	20.9348	4.58676	-2.9973	0.592071	radar	5.47114	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2711	20.9752	4.79469	-3.00541	0.544828	lidar	3.82303	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0368	20.9543	4.78313	-2.98446	0.536894	radar	1.00914	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.86257	20.9107	4.63803	-2.94956	0.549533	lidar	1.36044	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.64831	20.8925	4.47428	-2.94213	0.511826	radar	1.78059	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.46498	20.8429	4.39188	-2.91075	0.520319	lidar	0.405916	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.25871	20.7945	4.41535	-2.8829	0.527046	radar	1.40434	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.9213	20.7787	4.6988	-2.89294	0.479717	lidar	3.48859	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.71858	20.6955	4.67006	-2.85376	0.500809	radar	4.24574	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41116	20.6205	4.86732	-2.84031	0.483173	lidar	3.15353	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.18099	20.5413	4.88481	-2.8127	0.489223	radar	0.0621662	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92872	20.463	4.93527	-2.79344	0.482277	lidar	0.12927	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.70965	20.3785	4.98321	-2.76281	0.498386	radar	3.33305	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.36472	20.3256	5.22936	-2.77652	0.450047	lidar	2.7703	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.12249	20.2336	5.18369	-2.75837	0.440277	radar	0.281304	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
